signature,name,first_occurrence_page,first_occurrence_evidence,regex_patterns,replacement_rule,occurrences
temperature_difference,Temperature difference,17,There is a consistent difference of approximately 8-10°C between the average maximum and minimum monthly temperatures.,"(temperature\ difference)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (temperature\ difference)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Temperature difference' only; remove numeric values; optionally append <temperature_difference>,1
who_heat_stress_threshold,WHO heat stress threshold,17,The World Health Organisation (WHO) heat stress threshold of 35°C lies beyond the range of maximum temperatures ever observed.,"(who\ heat\ stress\ threshold)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (who\ heat\ stress\ threshold)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'WHO heat stress threshold' only; remove numeric values; optionally append <who_heat_stress_threshold>,1
minimum_annual_rainfall,Minimum annual rainfall,17,"Recent data show widely variable total annual rainfall can range from a minimum around 740 mm to a maximum up to around 2,300 mm.","(minimum\ annual\ rainfall)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (minimum\ annual\ rainfall)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Minimum annual rainfall' only; remove numeric values; optionally append <minimum_annual_rainfall>,1
maximum_annual_rainfall,Maximum annual rainfall,17,"Recent data show widely variable total annual rainfall can range from a minimum around 740 mm to a maximum up to around 2,300 mm.","(maximum\ annual\ rainfall)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (maximum\ annual\ rainfall)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Maximum annual rainfall' only; remove numeric values; optionally append <maximum_annual_rainfall>,1
average_annual_rainfall_in_natarbora,Average annual rainfall in Natarbora,17,Natarbora receives annual average rainfall between 740 to 900 mm.,"(average\ annual\ rainfall\ in\ natarbora)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (average\ annual\ rainfall\ in\ natarbora)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Average annual rainfall in Natarbora' only; remove numeric values; optionally append <average_annual_rainfall_in_natarbora>,1
high_daily_rainfall_event,High daily rainfall event,17,High daily rainfall events occur relatively infrequently but can reach up to 140 mm.,"(high\ daily\ rainfall\ event)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (high\ daily\ rainfall\ event)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'High daily rainfall event' only; remove numeric values; optionally append <high_daily_rainfall_event>,1
pdsi_trend_from_1958_to_2023,PDSI trend from 1958 to 2023,17,Analysis of available climatic data...indicated there is no statistically significant long-term trend in drought severity over the period 1958 to 2023.,"(pdsi\ trend\ from\ 1958\ to\ 2023)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (pdsi\ trend\ from\ 1958\ to\ 2023)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'PDSI trend from 1958 to 2023' only; remove numeric values; optionally append <pdsi_trend_from_1958_to_2023>,1
period_of_moderate_to_severe_drought,Period of moderate to severe drought,17,"There were several periods of drought, notably with the mid-1960s being a period of moderate to severe drought.","(period\ of\ moderate\ to\ severe\ drought)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (period\ of\ moderate\ to\ severe\ drought)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Period of moderate to severe drought' only; remove numeric values; optionally append <period_of_moderate_to_severe_drought>,1
extremely_wet_period,Extremely wet period,17,The early 1970s were an extremely wet period.,"(extremely\ wet\ period)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (extremely\ wet\ period)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Extremely wet period' only; remove numeric values; optionally append <extremely_wet_period>,1
increased_variability_after_2000,Increased variability after 2000,17,"After 2000, data indicate an increased variability compared to earlier years.","(increased\ variability\ after\ 2000)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (increased\ variability\ after\ 2000)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Increased variability after 2000' only; remove numeric values; optionally append <increased_variability_after_2000>,1
dry_season_wind_direction,Dry season wind direction,18,"""During the dry season in Natarbora (April to November), the wind rose indicates a strong prevailing wind pattern from the south-southeast and south""","(dry\ season\ wind\ direction)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (dry\ season\ wind\ direction)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Dry season wind direction' only; remove numeric values; optionally append <dry_season_wind_direction>,1
wet_season_wind_direction,Wet season wind direction,18,"""During the wet season in Natarbora (December to March), the wind rose shows a prevailing wind pattern from the west and west-northwest""","(wet\ season\ wind\ direction)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (wet\ season\ wind\ direction)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Wet season wind direction' only; remove numeric values; optionally append <wet_season_wind_direction>,1
wind_speed_exceeding,Wind speed exceeding,18,"""occasional occurrences of stronger winds, including some unusual instances of winds exceeding 12 m/s""","(wind\ speed\ exceeding)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (wind\ speed\ exceeding)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Wind speed exceeding' only; remove numeric values; optionally append <wind_speed_exceeding>,1
number_of_cyclones_within_100_km,Number of cyclones within 100 km,18,"""only 8 cyclones passed within 100 km to the site""","(number\ of\ cyclones\ within\ 100\ km)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (number\ of\ cyclones\ within\ 100\ km)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Number of cyclones within 100 km' only; remove numeric values; optionally append <number_of_cyclones_within_100_km>,1
area_of_timor_leste,Area of Timor-Leste,18,"""covering approximately 15,000 km²""","(area\ of\ timor\-leste)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (area\ of\ timor\-leste)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Area of Timor-Leste' only; remove numeric values; optionally append <area_of_timor_leste>,1
percentage_of_land_with_slope_greater_than_40,Percentage of land with slope greater than 40%,18,"""about 44% of the land having a slope greater than 40%""","(percentage\ of\ land\ with\ slope\ greater\ than\ 40%)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ land\ with\ slope\ greater\ than\ 40%)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of land with slope greater than 40%' only; remove numeric values; optionally append <percentage_of_land_with_slope_greater_than_40>,1
height_of_mount_ramelau,Height of Mount Ramelau,18,"""with Mount Ramelau being the highest at 2,963 meters""","(height\ of\ mount\ ramelau)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (height\ of\ mount\ ramelau)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Height of Mount Ramelau' only; remove numeric values; optionally append <height_of_mount_ramelau>,1
mean_elevation_of_timor_leste,Mean elevation of Timor-Leste,18,"""The mean elevation is 470 meters""","(mean\ elevation\ of\ timor\-leste)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (mean\ elevation\ of\ timor\-leste)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Mean elevation of Timor-Leste' only; remove numeric values; optionally append <mean_elevation_of_timor_leste>,1
width_of_timor_leste,Width of Timor-Leste,18,"""Timor-Leste's width north to south ranges from 75 to 100 km""","(width\ of\ timor\-leste)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (width\ of\ timor\-leste)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Width of Timor-Leste' only; remove numeric values; optionally append <width_of_timor_leste>,1
cyclone_frequency_trend,Cyclone frequency trend,18,"""Data suggest that the cyclone frequency has increased slightly but consistently in the project area over the last century""","(cyclone\ frequency\ trend)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (cyclone\ frequency\ trend)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Cyclone frequency trend' only; remove numeric values; optionally append <cyclone_frequency_trend>,1
peak_wildfire_occurrences,Peak wildfire occurrences,18,"""Fires reach their peak in October and are largely absent from January to March""","(peak\ wildfire\ occurrences)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (peak\ wildfire\ occurrences)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Peak wildfire occurrences' only; remove numeric values; optionally append <peak_wildfire_occurrences>,1
thickness_of_sediment_unit,Thickness of sediment unit,19,The thickness of the unit is reported up to 600 m.,"(thickness\ of\ sediment\ unit)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (thickness\ of\ sediment\ unit)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Thickness of sediment unit' only; remove numeric values; optionally append <thickness_of_sediment_unit>,1
distance_to_rib_sahen_river,Distance to Rib Sahen river,19,"The Rib Sahen, a major river, flows to the coast less than 3 kilometers southwest of the site.","(distance\ to\ rib\ sahen\ river)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ to\ rib\ sahen\ river)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance to Rib Sahen river' only; remove numeric values; optionally append <distance_to_rib_sahen_river>,1
groundwater_reliance_during_dry_season,Groundwater reliance during dry season,19,Groundwater is a critical resource in Timor-Leste.,"(groundwater\ reliance\ during\ dry\ season)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (groundwater\ reliance\ during\ dry\ season)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Groundwater reliance during dry season' only; remove numeric values; optionally append <groundwater_reliance_during_dry_season>,1
agricultural_activities_in_local_communities,Agricultural activities in local communities,19,"Local communities are small and primarily engaged in fishing at artisanal-subsistence scale, as well as (and likely often combined with) farming (mostly maize/corn) and livestock.","(agricultural\ activities\ in\ local\ communities)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (agricultural\ activities\ in\ local\ communities)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Agricultural activities in local communities' only; remove numeric values; optionally append <agricultural_activities_in_local_communities>,1
transition_of_project_area,Transition of project area,19,The area is currently undergoing transition from natural and semi-natural rural conditions to planned development.,"(transition\ of\ project\ area)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (transition\ of\ project\ area)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Transition of project area' only; remove numeric values; optionally append <transition_of_project_area>,1
requirement_for_vegetation_clearing,Requirement for vegetation clearing,19,Vegetation clearing will be required in places to support the refinery development.,"(requirement\ for\ vegetation\ clearing)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (requirement\ for\ vegetation\ clearing)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Requirement for vegetation clearing' only; remove numeric values; optionally append <requirement_for_vegetation_clearing>,1
coastal_feature_at_project_site,Coastal feature at project site,19,The coastline at the Project site is dominated by extensive mangrove forests.,"(coastal\ feature\ at\ project\ site)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (coastal\ feature\ at\ project\ site)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Coastal feature at project site' only; remove numeric values; optionally append <coastal_feature_at_project_site>,1
ecological_services_provided_by_mangroves,Ecological services provided by mangroves,19,"As mangroves provide crucial ecological services of coastal protection, fisheries support, and carbon sequestration.","(ecological\ services\ provided\ by\ mangroves)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ecological\ services\ provided\ by\ mangroves)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Ecological services provided by mangroves' only; remove numeric values; optionally append <ecological_services_provided_by_mangroves>,1
project_area_mangrove_contribution,Project area mangrove contribution,20,It counts for about one tenth of the total mangrove areas of Timor Leste.,"(project\ area\ mangrove\ contribution)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (project\ area\ mangrove\ contribution)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Project area mangrove contribution' only; remove numeric values; optionally append <project_area_mangrove_contribution>,1
discovery_of_new_species,Discovery of new species,20,"A recent example highlighting this biodiversity is the discovery of a new species, the Timor Ground Snake (Stegonotus nancuro), identified in 2021.","(discovery\ of\ new\ species)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (discovery\ of\ new\ species)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Discovery of new species' only; remove numeric values; optionally append <discovery_of_new_species>,1
location_of_new_species_discovery,Location of new species discovery,20,"identified in 2021, approximately 6.5 kilometers south of Natarbora.","(location\ of\ new\ species\ discovery)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (location\ of\ new\ species\ discovery)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Location of new species discovery' only; remove numeric values; optionally append <location_of_new_species_discovery>,1
endangered_species_present,Endangered species present,20,including the Endangered Timor Green-pigeon.,"(endangered\ species\ present)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (endangered\ species\ present)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Endangered species present' only; remove numeric values; optionally append <endangered_species_present>,6
critically_endangered_species_present,Critically Endangered species present,20,The Critically Endangered Hawksbill Seaturtle may nest on the sandy beach.,"(critically\ endangered\ species\ present)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (critically\ endangered\ species\ present)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Critically Endangered species present' only; remove numeric values; optionally append <critically_endangered_species_present>,1
endangered_migratory_species_present,Endangered migratory species present,20,the Endangered Siberian Sandplover may use the coastal habitat during migration and wintering.,"(endangered\ migratory\ species\ present)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (endangered\ migratory\ species\ present)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Endangered migratory species present' only; remove numeric values; optionally append <endangered_migratory_species_present>,2
marine_biodiversity,Marine biodiversity,20,"The Timor Sea, located within the Coral Triangle, is known for its exceptional marine biodiversity.","(marine\ biodiversity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (marine\ biodiversity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Marine biodiversity' only; remove numeric values; optionally append <marine_biodiversity>,1
migratory_species_in_open_waters,Migratory species in open waters,20,"The open waters off the southern coast support migratory species, including tuna.","(migratory\ species\ in\ open\ waters)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (migratory\ species\ in\ open\ waters)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Migratory species in open waters' only; remove numeric values; optionally append <migratory_species_in_open_waters>,2
project_area_critical_habitat,Project area critical habitat,21,the entire project area falls into likely critical habitat area,"(project\ area\ critical\ habitat)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (project\ area\ critical\ habitat)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Project area critical habitat' only; remove numeric values; optionally append <project_area_critical_habitat>,1
distance_to_aubeon_village,Distance to Aubeon Village,21,Aubeon Village is 1.5 kilometers from the plant boundary,"(distance\ to\ aubeon\ village)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ to\ aubeon\ village)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance to Aubeon Village' only; remove numeric values; optionally append <distance_to_aubeon_village>,2
distance_to_natarbora,Distance to Natarbora,21,"Natarbora, an 'Administrative Post' or district town, is 3.5 kilometers distant","(distance\ to\ natarbora)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ to\ natarbora)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance to Natarbora' only; remove numeric values; optionally append <distance_to_natarbora>,2
distance_to_new_village_project,Distance to New Village Project,21,The 'New Village' (or 'Township') Project residential area is 8.5 kilometers from the plant,"(distance\ to\ new\ village\ project)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ to\ new\ village\ project)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance to New Village Project' only; remove numeric values; optionally append <distance_to_new_village_project>,1
number_of_houses_in_aubeon_village,Number of houses in Aubeon Village,21,The number of houses in the Auebon Village is 566,"(number\ of\ houses\ in\ aubeon\ village)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (number\ of\ houses\ in\ aubeon\ village)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Number of houses in Aubeon Village' only; remove numeric values; optionally append <number_of_houses_in_aubeon_village>,1
average_household_size_in_timor_leste,Average household size in Timor-Leste,21,the average household size nationally has decreased to 4.7 persons,"(average\ household\ size\ in\ timor\-leste)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (average\ household\ size\ in\ timor\-leste)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Average household size in Timor-Leste' only; remove numeric values; optionally append <average_household_size_in_timor_leste>,1
estimated_total_population_in_aubeon_village,Estimated total population in Aubeon Village,21,"we can estimate the total population in the depicted village is approximately 2,660 people in 2022","(estimated\ total\ population\ in\ aubeon\ village)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (estimated\ total\ population\ in\ aubeon\ village)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Estimated total population in Aubeon Village' only; remove numeric values; optionally append <estimated_total_population_in_aubeon_village>,1
national_population_of_timor_leste,National population of Timor-Leste,21,the national population of about 1.341 million,"(national\ population\ of\ timor\-leste)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (national\ population\ of\ timor\-leste)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'National population of Timor-Leste' only; remove numeric values; optionally append <national_population_of_timor_leste>,1
population_of_manatuto_municipality,Population of Manatuto Municipality,21,"Manatuto Municipality, in which the site is located, a largely rural area, has a population barely above 50,000","(population\ of\ manatuto\ municipality)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (population\ of\ manatuto\ municipality)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Population of Manatuto Municipality' only; remove numeric values; optionally append <population_of_manatuto_municipality>,1
percentage_of_national_population_living_in_dili,Percentage of national population living in Dili,21,About a quarter of the national population of about 1.341 million lives in Dili,"(percentage\ of\ national\ population\ living\ in\ dili)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ national\ population\ living\ in\ dili)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of national population living in Dili' only; remove numeric values; optionally append <percentage_of_national_population_living_in_dili>,1
population_of_isolated_administrative_post,Population of isolated Administrative Post,21,"the most isolated Administrative Post of the Municipality, with about 12% of the population at just over 6,000 people","(population\ of\ isolated\ administrative\ post)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (population\ of\ isolated\ administrative\ post)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Population of isolated Administrative Post' only; remove numeric values; optionally append <population_of_isolated_administrative_post>,1
percentage_of_population_in_isolated_administrative_post,Percentage of population in isolated Administrative Post,21,"about 12% of the population at just over 6,000 people","(percentage\ of\ population\ in\ isolated\ administrative\ post)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ population\ in\ isolated\ administrative\ post)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of population in isolated Administrative Post' only; remove numeric values; optionally append <percentage_of_population_in_isolated_administrative_post>,1
area_of_mangrove_ecosystem_restoration,Area of mangrove ecosystem restoration,22,"""managing the restoration of over 580 ha of mangrove ecosystem.""","(area\ of\ mangrove\ ecosystem\ restoration)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (area\ of\ mangrove\ ecosystem\ restoration)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Area of mangrove ecosystem restoration' only; remove numeric values; optionally append <area_of_mangrove_ecosystem_restoration>,1
area_of_land_for_livestock_group,Area of land for livestock group,22,"""the livestock 'fattening' group...had already commenced working on 7 ha of land""","(area\ of\ land\ for\ livestock\ group)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (area\ of\ land\ for\ livestock\ group)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Area of land for livestock group' only; remove numeric values; optionally append <area_of_land_for_livestock_group>,1
area_of_land_for_agriculture_group,Area of land for agriculture group,22,"""the agriculture group members were expecting a large maize harvest from their 4 ha of land""","(area\ of\ land\ for\ agriculture\ group)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (area\ of\ land\ for\ agriculture\ group)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Area of land for agriculture group' only; remove numeric values; optionally append <area_of_land_for_agriculture_group>,1
area_of_land_for_fisheries_group,Area of land for fisheries group,22,"""the fisheries group were preparing their ponds on more than 1 hectare of land.""","(area\ of\ land\ for\ fisheries\ group)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (area\ of\ land\ for\ fisheries\ group)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Area of land for fisheries group' only; remove numeric values; optionally append <area_of_land_for_fisheries_group>,1
percentage_of_landowners_in_surveyed_villages,Percentage of landowners in surveyed villages,22,"""the study found, of its surveyed respondents in four villages, 83% owned the land they resided on.""","(percentage\ of\ landowners\ in\ surveyed\ villages)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ landowners\ in\ surveyed\ villages)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of landowners in surveyed villages' only; remove numeric values; optionally append <percentage_of_landowners_in_surveyed_villages>,1
percentage_of_landowners_who_inherited_land,Percentage of landowners who inherited land,22,"""Of the landowners, 20% reported inheriting the land.""","(percentage\ of\ landowners\ who\ inherited\ land)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ landowners\ who\ inherited\ land)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of landowners who inherited land' only; remove numeric values; optionally append <percentage_of_landowners_who_inherited_land>,1
percentage_of_landowners_who_obtained_land_from_indonesian_government,Percentage of landowners who obtained land from Indonesian government,22,"""17-29% obtained their land from the Indonesian government.""","(percentage\ of\ landowners\ who\ obtained\ land\ from\ indonesian\ government)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ landowners\ who\ obtained\ land\ from\ indonesian\ government)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of landowners who obtained land from Indonesian government' only; remove numeric values; optionally append <percentage_of_landowners_who_obtained_land_from_indonesian_government>,1
percentage_of_landowners_who_obtained_land_from_timor_leste_government,Percentage of landowners who obtained land from Timor-Leste government,22,"""13-17% from the Timor-Leste government.""","(percentage\ of\ landowners\ who\ obtained\ land\ from\ timor\-leste\ government)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ landowners\ who\ obtained\ land\ from\ timor\-leste\ government)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of landowners who obtained land from Timor-Leste government' only; remove numeric values; optionally append <percentage_of_landowners_who_obtained_land_from_timor_leste_government>,1
percentage_of_farmers_hiring_tractors_for_cultivation,Percentage of farmers hiring tractors for cultivation,22,"""In the villages studied by Al-Com, 31% of farmers hired tractors to cultivate their land.""","(percentage\ of\ farmers\ hiring\ tractors\ for\ cultivation)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ farmers\ hiring\ tractors\ for\ cultivation)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of farmers hiring tractors for cultivation' only; remove numeric values; optionally append <percentage_of_farmers_hiring_tractors_for_cultivation>,1
percentage_of_aubeon_farmers_planting_wet_rice,Percentage of Aubeon farmers planting wet rice,22,"""About 69% of Aubeon farmers plant some wet (paddy) rice.""","(percentage\ of\ aubeon\ farmers\ planting\ wet\ rice)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ aubeon\ farmers\ planting\ wet\ rice)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of Aubeon farmers planting wet rice' only; remove numeric values; optionally append <percentage_of_aubeon_farmers_planting_wet_rice>,1
percentage_of_farmers_planting_only_one_crop_annually,Percentage of farmers planting only one crop annually,22,"""mostly (88-90%) only one crop annually.""","(percentage\ of\ farmers\ planting\ only\ one\ crop\ annually)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ farmers\ planting\ only\ one\ crop\ annually)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of farmers planting only one crop annually' only; remove numeric values; optionally append <percentage_of_farmers_planting_only_one_crop_annually>,1
